Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,GRDP,Factor_Income
서울특별시 강서구,A,0,0,0,0,0,0,0,0,2,8,3,9,12965,10904
서울특별시 강서구,B,0,0,1,1,1,1,0,0,0,0,0,0,0,0
서울특별시 강서구,C,782,6352,785,6668,801,6800,784,6743,851,6781,897,6945,486228,324804
서울특별시 강서구,D,5,425,7,465,8,513,12,483,14,481,8,467,81225,23798
서울특별시 강서구,E,35,625,37,656,35,676,34,734,46,833,47,847,,
서울특별시 강서구,F,887,13042,952,13948,1008,15319,933,13962,1082,15831,1145,17050,878172,822905
서울특별시 강서구,G,5108,29726,5252,32810,5596,32395,5251,29799,5532,33023,5662,33548,2046249,1865001
서울특별시 강서구,H,918,47410,970,45735,1009,44671,1015,45140,1064,42551,1116,43793,1207931,759813
서울특별시 강서구,I,3244,16509,3351,17789,3736,18836,2905,14235,3110,15240,3285,16943,430150,390345
서울특별시 강서구,J,537,10780,676,10697,734,11115,860,11456,1127,15393,1369,16525,2494802,1949935
서울특별시 강서구,K,283,3960,309,3968,337,4656,332,4959,374,4765,379,4787,338913,307412
서울특별시 강서구,L,1024,5979,1131,6356,1198,7691,1098,5793,1259,6241,1338,5934,2191703,1142558
서울특별시 강서구,M,777,17225,978,22960,1086,25518,1242,25958,1546,29603,1688,32363,,
서울특별시 강서구,N,438,17144,540,17440,636,17500,610,18174,688,21633,713,22356,4361960,3878027
서울특별시 강서구,P,965,8705,969,9086,1007,8865,919,8477,925,8679,959,9018,766757,651322
서울특별시 강서구,Q,1499,17658,1536,19327,1594,22311,1564,23306,1550,23662,1621,26058,942817,852031
